ID,Sent1,Sent2,Score,Dataset,Domain
5552,the activity of examining or assessing something,the act of decreasing or reducing something.,0.0,STS2013-gold,OnWN
5553,the act of preserving or protecting something,the act of forming or establishing something.,1.4,STS2013-gold,OnWN
5554,turn on an axis; spin,cause to turn on an axis or center.,3.6,STS2013-gold,OnWN
5555,PLAY OFF-set into opposition or rivalry,set into opposition or rivalry.,3.8,STS2013-gold,OnWN
5556,the processing or operation of something,the physical position of something.,1.0,STS2013-gold,OnWN
5557,the act of pulling a load,the act of hearing attentively.,0.4,STS2013-gold,OnWN
5558,the act of explaining or defending something,the act of designating or identifying something.,0.6,STS2013-gold,OnWN
5559,"come upon, attack or catch someone or something unaware",the act of liberating someone or something.,0.0,STS2013-gold,OnWN
5560,"the act of turning, rotating an object",the act of dropping something.,0.6,STS2013-gold,OnWN
5561,social or economic downfall of someone or a group,failure that results in a loss of position or reputation.,2.8,STS2013-gold,OnWN
5562,the primary component of a communication,the last section of a communication.,1.6,STS2013-gold,OnWN
5563,the process of becoming less or smaller,process or result of becoming less or smaller.,4.2,STS2013-gold,OnWN
5564,the concluding section of a communication,the last section of a communication.,4.2,STS2013-gold,OnWN
5565,Reduce to small pieces by pounding or grinding.,reduce to small pieces or particles by pounding or abrading.,4.2,STS2013-gold,OnWN
5566,the act or capability of seeing,the range of interest or activity that can be anticipated.,0.0,STS2013-gold,OnWN
5567,the act of accusing someone or something for being at fault,the act of damaging something or someone.,0.8,STS2013-gold,OnWN
5568,give a specific interpretation to,twist and turn so as to give an intended interpretation.,3.2,STS2013-gold,OnWN
5569,The state of being suspected.,the state of being rejected.,0.8,STS2013-gold,OnWN
5570,"The process of cultivating the land, possibly as a way of life.",agriculture considered as an occupation or way of life.,4.2,STS2013-gold,OnWN
5571,a military aircraft that drops ordinance,a military aircraft that drops bombs during flight.,3.0,STS2013-gold,OnWN
5572,the act of accusing someone or something for being at fault,the act of liberating someone or something.,0.0,STS2013-gold,OnWN
5573,"accept, acclimate or adapt to a context, situation",adapt or conform oneself to new or different conditions.,4.6,STS2013-gold,OnWN
5574,"the temperature at which a liquid boils, bubbles",the temperature at which a liquid boils at sea level.,3.6,STS2013-gold,OnWN
5575,The human act of making something new.,the act of cracking something.,0.6,STS2013-gold,OnWN
5576,Beat or hit (as if) with a whip.,maintain with or as if with a bet.,0.0,STS2013-gold,OnWN
5577,the act of lifting something,the act of stopping something.,0.2,STS2013-gold,OnWN
5578,rein in a horse to lose a race,rein in to keep from winning a race.,3.8,STS2013-gold,OnWN
5579,(cause to) come to rest on a surface,cause to come out in a squirt.,1.4,STS2013-gold,OnWN
5580,provide or supply with water,cover or swamp with water.,1.8,STS2013-gold,OnWN
5581,Amount that can be contained,the amount that can be contained.,5.0,STS2013-gold,OnWN
5582,contain or have a specific wording or information,have or contain a certain wording or form.,4.4,STS2013-gold,OnWN
5583,a channel of social communication,a channel for communication between groups.,4.8,STS2013-gold,OnWN
5584,"Cause to be or last longer, extend in duration or space.",lengthen or extend in duration or space.,4.2,STS2013-gold,OnWN
5585,a rank or position relative to others,take or have a position relative to others.,3.4,STS2013-gold,OnWN
5586,the uppermost area of region of something,the act of dropping something.,0.0,STS2013-gold,OnWN
5587,the apparent condition or state of something,the act of losing someone or something.,0.2,STS2013-gold,OnWN
5588,burn slightly to affect color,burn slightly and superficially so as to affect color.,4.66666666667,STS2013-gold,OnWN
5589,a general trait or characteristic of something,give certain properties to something.,3.2,STS2013-gold,OnWN
5590,position in football played by a team member,(American football) a position on the line of scrimmage.,2.8,STS2013-gold,OnWN
5591,The act of arranging elements together.,the act of fastening things together.,2.0,STS2013-gold,OnWN
5592,cause a sharp or stinging pain to,cause a sharp or stinging pain or discomfort.,4.0,STS2013-gold,OnWN
5593,the act of choosing or selecting,the act of dropping something.,0.8,STS2013-gold,OnWN
5594,"incite action, cause an event",serve as the inciting cause of.,4.2,STS2013-gold,OnWN
5595,"come up, as of liquid or gas","come up, as of a liquid.",3.6,STS2013-gold,OnWN
5596,(Cause to) become less tense; rest or take one's ease.,"become less tense, rest, or take one's ease.",4.4,STS2013-gold,OnWN
5597,adapt to a specified measurement or proportion,adapt to a specified measurement.,4.2,STS2013-gold,OnWN
5598,"anatomical shape of the body of a being, physique",alternative names for the body of a human being.,2.4,STS2013-gold,OnWN
5599,cause romantic action; lure away from proper conduct,"lure or entice away from duty, principles, or proper conduct.",3.2,STS2013-gold,OnWN
5600,make up something fictional or untrue,make up something artificial or untrue.,5.0,STS2013-gold,OnWN
5601,remove to or from a place or situation,break from a meeting or gathering.,2.0,STS2013-gold,OnWN
5602,the act of lifting something,the act of ending something.,1.2,STS2013-gold,OnWN
5603,a happening or incident of human significance,a special set of circumstances.,0.2,STS2013-gold,OnWN
5604,protect with or as if with a shield,"protect, hide, or conceal from danger or harm.",3.8,STS2013-gold,OnWN
5605,basic monetary unit of Kyrgyzstan,the basic unit of money in Kyrgyzstan.,4.8,STS2013-gold,OnWN
5606,the act of lifting something,the act of cracking something.,0.4,STS2013-gold,OnWN
5607,(cause to) move gently back and forth,cause to move back and forth.,4.4,STS2013-gold,OnWN
5608,the state of being in contact,the state of being active.,1.2,STS2013-gold,OnWN
5609,The act of testing something.,the act of decreasing or reducing something.,0.4,STS2013-gold,OnWN
5610,the act of explaining or defending something,the act of expelling or projecting or ejecting.,0.2,STS2013-gold,OnWN
5611,Understand the meaning of something.,get the meaning of something.,4.6,STS2013-gold,OnWN
5612,take a risk or guess in hope of a favorable outcome,take a risk in the hope of a favorable outcome.,4.6,STS2013-gold,OnWN
5613,the act of annoying someone or something,the act of applying force to propel something.,0.2,STS2013-gold,OnWN
5614,change (dramatically) between high and low values,alternate dramatically between high and low values.,4.6,STS2013-gold,OnWN
5615,the activity of examining or assessing something,the act of designating or identifying something.,2.4,STS2013-gold,OnWN
5616,(cause to) be anxious or preoccupied,cause to be balanced or suspended.,0.4,STS2013-gold,OnWN
5617,design for a specific purpose,plan something for a specific role or purpose or effect.,4.2,STS2013-gold,OnWN
5618,to combat or oppose someone or something,the act of forcing out someone or something.,2.6,STS2013-gold,OnWN
5619,(Cause to) form a cluster in either abstract or physical space.,"cause to have, in the abstract sense or physical sense.",2.2,STS2013-gold,OnWN
5620,a mental grasp or understanding of something,understanding of the nature or meaning or quality or magnitude of something.,4.2,STS2013-gold,OnWN
5621,do something considered below one's diginty,do something that one considers to be below one's dignity.,4.6,STS2013-gold,OnWN
5622,(game) a division during which one is allowed to play (perhaps as offense).,(sports) a division during which one team is on the offensive.,4.2,STS2013-gold,OnWN
5623,"the act of cutting off length, snipping off",the act of clipping or snipping.,4.2,STS2013-gold,OnWN
5624,a sovereign regime and its assemblage,the sovereign and his advisers who are the governing power of a state.,3.8,STS2013-gold,OnWN
5625,the act of annoying someone or something,the act of raising something.,0.75,STS2013-gold,OnWN
5626,the extreme endpoint of something,the act or means of getting rid of something.,0.4,STS2013-gold,OnWN
5627,be or have a quality of being,the quality of being significant.,2.6,STS2013-gold,OnWN
5628,Improve by pruning or polishing,improve or perfect by pruning or polishing.,4.4,STS2013-gold,OnWN
5629,the act of preserving or protecting something,the act of applying force to propel something.,0.0,STS2013-gold,OnWN
5630,register formally as a participant,register formally as a participant or member.,4.4,STS2013-gold,OnWN
5631,"a lever that activates a firing mechanism, especially with a firearm",lever that activates the firing mechanism of a gun.,4.0,STS2013-gold,OnWN
5632,The act of beginning something new.,the act of ending something.,0.8,STS2013-gold,OnWN
5633,the act of annoying someone or something,the act of liberating someone or something.,0.2,STS2013-gold,OnWN
5634,"Cut into, possibly creating something new.",a reason for wanting something done.,0.6,STS2013-gold,OnWN
5635,a casual game of throwing a ball back and forth,a cooperative game in which a ball is passed back and forth.,3.6,STS2013-gold,OnWN
5636,"come up, as of liquid or gas","take up, as of debts or payments.",0.2,STS2013-gold,OnWN
